Facility Name,Sports,Latitude,Longitude,Activity Type,activities
Bishan-Ang Mo Kio Park (River Plains),Running/Jogging/Walking,1.3605206612391525,103.84886679994813,Outdoor,Running/Jogging/Walking
Chuan Green Pg,Running/Jogging/Walking,1.3604796821887382,103.86600839566016,Outdoor,Running/Jogging/Walking
St. Nicholas View Playground,Running/Jogging/Walking,1.371626440943886,103.83278502528952,Outdoor,Running/Jogging/Walking
Ellington Square Playground,Running/Jogging/Walking,1.372002308967111,103.8345303604276,Outdoor,Running/Jogging/Walking
Gelenggang Park,Running/Jogging/Walking,1.3734758941034848,103.82983449183553,Outdoor,Running/Jogging/Walking
Leban Park,Running/Jogging/Walking,1.3724595958171455,103.82929233400442,Outdoor,Running/Jogging/Walking
Mayflower Crescent Pg,Running/Jogging/Walking,1.3727323067423003,103.83952885224149,Outdoor,Running/Jogging/Walking
Serenade Walk Pg,Running/Jogging/Walking,1.3799210099648818,103.83455966687733,Outdoor,Running/Jogging/Walking
Shangri-La Playground,Running/Jogging/Walking,1.3710206044793614,103.83239200313676,Outdoor,Running/Jogging/Walking
Sunrise Close Pg,Running/Jogging/Walking,1.3870117216117048,103.85750994675662,Outdoor,Running/Jogging/Walking
Sunrise Dr Pg I,Running/Jogging/Walking,1.3883057124857408,103.85736958326424,Outdoor,Running/Jogging/Walking
Sunrise Place Pg,Running/Jogging/Walking,1.386942603910854,103.85660014074122,Outdoor,Running/Jogging/Walking
Sunrise Way Pg,Running/Jogging/Walking,1.387674298772381,103.85668008439828,Outdoor,Running/Jogging/Walking
Teacher`S Estate Pg,Running/Jogging/Walking,1.3819922656658334,103.82919950234891,Outdoor,Running/Jogging/Walking
Thomson Green Pg,Running/Jogging/Walking,1.3786921826899312,103.83262325345856,Outdoor,Running/Jogging/Walking
Thomson Walk Pg,Running/Jogging/Walking,1.3760005695093724,103.83248564324283,Outdoor,Running/Jogging/Walking
Yio Chu Kang Gardens Pg,Running/Jogging/Walking,1.3806810614421143,103.83748739794768,Outdoor,Running/Jogging/Walking
Sunrise Terrace Os,Running/Jogging/Walking,1.3882473907685913,103.85611706221468,Outdoor,Running/Jogging/Walking
Cactus Rd Pg,Running/Jogging/Walking,1.3901090514350167,103.8522364751832,Outdoor,Running/Jogging/Walking
Sunrise Dr Pg Ii,Running/Jogging/Walking,1.3903014178121826,103.85525165964457,Outdoor,Running/Jogging/Walking
Chartwell Dr Pk,Running/Jogging/Walking,1.359630704066999,103.86387162020544,Outdoor,Running/Jogging/Walking
Garden View Pg,Running/Jogging/Walking,1.360424882312599,103.8656694375827,Outdoor,Running/Jogging/Walking
Jln Riang Pg,Running/Jogging/Walking,1.347142606318519,103.8673953575574,Outdoor,Running/Jogging/Walking
Mei Hwan Crescent Pg,Running/Jogging/Walking,1.3527669553311927,103.8617432585592,Outdoor,Running/Jogging/Walking
Mei Hwan Dr Pg,Running/Jogging/Walking,1.3533500946535582,103.86347279914048,Outdoor,Running/Jogging/Walking
Tai Hwan Terrace Pg,Running/Jogging/Walking,1.356445511239319,103.8603394027534,Outdoor,Running/Jogging/Walking
Tavistock Ave Pk,Running/Jogging/Walking,1.3702072455001193,103.86535828554187,Outdoor,Running/Jogging/Walking
Chuan Walk Pg,Running/Jogging/Walking,1.357221760934428,103.86755286023556,Outdoor,Running/Jogging/Walking
Colchester Grove Os,Running/Jogging/Walking,1.357584773,103.86745449486286,Outdoor,Running/Jogging/Walking
Binchang Rise Pg,Running/Jogging/Walking,1.3486736465484723,103.84354841240868,Outdoor,Running/Jogging/Walking
Thomson Pk,Running/Jogging/Walking,1.354291095873925,103.83436394111058,Outdoor,Running/Jogging/Walking
Clover Way Pg,Running/Jogging/Walking,1.350177118,103.84602143139854,Outdoor,Running/Jogging/Walking
Fulton Ave Pg,Running/Jogging/Walking,1.3621074576917207,103.83352102521286,Outdoor,Running/Jogging/Walking
Island Gdns Walk Pg,Running/Jogging/Walking,1.3619988729063952,103.82843911048238,Outdoor,Running/Jogging/Walking
Jln Pintau Pg,Running/Jogging/Walking,1.3539456694819354,103.83997321893165,Outdoor,Running/Jogging/Walking
Jupiter Playground,Running/Jogging/Walking,1.3582711671757906,103.8251367708756,Outdoor,Running/Jogging/Walking
Pemimpin Place Pg,Running/Jogging/Walking,1.353369937451072,103.8427195604123,Outdoor,Running/Jogging/Walking
Soo Chow Walk Pg,Running/Jogging/Walking,1.3536471358303632,103.83202835279197,Outdoor,Running/Jogging/Walking
Clover Crescent Pg,Running/Jogging/Walking,1.351048150254165,103.84457614791424,Outdoor,Running/Jogging/Walking
The Inglewood Pg,Running/Jogging/Walking,1.3610744597440587,103.8300516835762,Outdoor,Running/Jogging/Walking
