Facility Name,Sports,Latitude,Longitude,Activity Type,activities
Park At Sembawang Alley,Running/Jogging/Walking,1.44873424,103.81904332032455,Outdoor,Running/Jogging/Walking
Jln Sendudok Park,Running/Jogging/Walking,1.4438998767847262,103.8271629651823,Outdoor,Running/Jogging/Walking
Toh Close Interim Park,Running/Jogging/Walking,1.3639140016919415,103.96992207870058,Outdoor,Running/Jogging/Walking
East Coast Park Area E1 Car Park,Running/Jogging/Walking,1.3073206700428106,103.93021604239304,Outdoor,Running/Jogging/Walking
Parliament Promenade,Running/Jogging/Walking,1.2885815772928455,103.84999922976148,Outdoor,Running/Jogging/Walking
Changi Beach Pk,Running/Jogging/Walking,1.3831593733995575,104.00175372183348,Outdoor,Running/Jogging/Walking
Nw502D,Running/Jogging/Walking,1.443216249561224,103.8298393418044,Outdoor,Running/Jogging/Walking
Jlg: Lakeside Garden,Running/Jogging/Walking,1.3336633524010115,103.72694973622696,Outdoor,Running/Jogging/Walking
City Green,Running/Jogging/Walking,1.3118468213994965,103.85602245803376,Outdoor,Running/Jogging/Walking
Silat Avenue Park,Running/Jogging/Walking,1.2760758381495587,103.82980087493316,Outdoor,Running/Jogging/Walking
Woodlands Healing Garden,Running/Jogging/Walking,1.425069285358305,103.79271594626628,Outdoor,Running/Jogging/Walking
Meng Suan Interim Park,Running/Jogging/Walking,1.4029897819398731,103.81536660776064,Outdoor,Running/Jogging/Walking
Market Street Park,Running/Jogging/Walking,1.2834506208363536,103.85025686606404,Outdoor,Running/Jogging/Walking
